File,Columns,Explanation
,parvorder,"taxonomic infraorder (if applicable), if not applicable, nothing is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific infraorder when infraorders are used in the order it is included under"
,superfamily,"taxonomic superfamily (if applicable), if not applicable, nothing is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific superfamily when superfamilies are used in the order it is included under"
,family,taxonomic family; all taxa are included in a family
,subfamily,"taxonomic subfamily (if applicable), if not applicable, nothing is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific subfamily when subfamilies are used in the family it is included under"
,tribe,"taxonomic tribe (if applicable), if not applicable, nothing is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific tribe when tribes are used in the family it is included under"
,genus,"taxonomic genus, all taxa are included in a genus"
,subgenus,"taxonomic subgenus (if applicable), if not applicable, nothing is listed in the cell; incertae sedis is listed for taxa that are not assigned to a specific subgenus when subgenera are used in the genus it is included under"
,specificEpithet,taxonomic species epithet
,authoritySpeciesAuthor,"species authority: author last name(s) that first described the species as sourced from the Species_Syn_Current sheet, following typical guidelines for format with specifics listed here; all authors on the author line of the publication in which the species is described are included; a comma is presented after the second to last name if there are more than two authors (e.g., S. E. Pavan, Mendes-Oliveira, & Voss); if the volume was described in a book or journal article with a differing set of editors/authors in the author line, an 'in' statement is used after the initial authors, followed by the editors/authors of the primary text (e.g., D. J. Kitchener in D. J. Kitchener & Maryanto); when two authors share the same surname, the initials are added before the surname in both cases, and if they share the same initials, then the middle name is also written out (e.g. J. A. Allen and G. M. Allen); for names of Chinese, Korean, and Indochinese origin, the full name is writen out with the surname put first and hyphens removed to match the format typically given in Chinese publication (e.g., Kuo Haochih, Fang Yinping, Csorba, & Lee Lingling)"
,authoritySpeciesYear,species authority: year that author first described the species as sourced from the Species_Syn_Current sheet
,authorityParentheses,0 for no parentheses around authority; 1 for parentheses around authority; values are based on the genus the species was included under in the original name combination as compared to the current genus name
,originalNameCombination,the name combination for each species as it appears in the original description as sourced from the Species_Syn_Current sheet
,authoritySpeciesCitation,"full or abbreviated literature citation of the authority publication as sourced from the Species_Syn_Current sheet; if the citation has been verified through obtaining a PDF of the original description or by seeing a physical copy of the volume, the citation will be in standardized APA format, otherwise, the citation may be in an abbreviated citation based on the source that the citation was originally found in"
